customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,churned,Historical_LTV,Predictive_LTV,Cluster,Segment_Name
1,37,Male,Germany,85886,14,18,41.2,6,0,741.6,1133.9449541284405,1.0,Champions / Top Spenders
2,40,Male,India,41041,4,10,31.73,4,0,317.3,727.7522935779817,0.0,At Risk Customers
3,69,Female,Australia,143869,59,39,65.96,12,0,2572.4399999999996,1966.6972477064219,0.0,At Risk Customers
4,30,Male,UK,87261,45,34,51.87,12,0,1763.58,1348.3027522935781,0.0,At Risk Customers
5,69,Female,UK,110678,40,38,59.64,13,0,2266.32,1599.378969654199,1.0,Champions / Top Spenders
6,28,Male,Australia,90330,2,7,35.63,1,1,249.41000000000003,2288.165137614679,0.0,At Risk Customers
7,40,Male,India,27302,51,29,38.99,10,0,1130.71,1037.348623853211,3.0,Loyal Customers
8,21,Male,Brazil,39171,83,15,48.84,3,0,732.6,2240.3669724770643,2.0,New / Low Engagement
9,47,Male,India,54766,27,23,35.37,8,0,813.51,932.9243119266055,0.0,At Risk Customers
10,42,Female,India,47550,46,32,47.16,12,0,1509.12,1153.761467889908,0.0,At Risk Customers
11,62,Female,USA,103020,51,36,59.03,13,0,2125.08,1499.7035991531404,3.0,Loyal Customers
12,28,Female,Germany,91009,9,23,35.26,9,0,810.9799999999999,826.6870540265033,0.0,At Risk Customers
13,32,Male,India,29700,44,33,29.87,13,0,985.71,695.6316160903316,0.0,At Risk Customers
14,56,Male,Japan,98727,41,41,39.71,15,0,1628.1100000000001,995.7859327217126,0.0,At Risk Customers
15,31,Female,India,76075,73,30,47.96,9,0,1438.8,1466.6666666666667,3.0,Loyal Customers
16,52,Male,Germany,151138,70,17,67.35,2,1,1144.9499999999998,5252.064220183485,3.0,Loyal Customers
17,66,Male,USA,96555,32,19,39.75,5,0,755.25,1385.7798165137613,0.0,At Risk Customers
18,42,Male,USA,148387,57,27,64.71,6,0,1747.1699999999998,2671.5137614678897,0.0,At Risk Customers
19,43,Female,Japan,122773,19,23,55.65,8,0,1279.95,1467.8325688073396,0.0,At Risk Customers
20,27,Male,Germany,128322,100,35,67.03,9,0,2346.05,2391.488277268094,0.0,At Risk Customers
21,51,Male,UK,49081,48,39,38.09,15,0,1485.5100000000002,908.5688073394496,1.0,Champions / Top Spenders
22,24,Male,Germany,63638,15,9,44.73,1,0,402.57,3693.302752293578,0.0,At Risk Customers
23,60,Female,Germany,57291,24,33,40.71,14,0,1343.43,880.3604193971166,1.0,Champions / Top Spenders
24,27,Female,India,61231,19,12,30.18,3,1,362.15999999999997,1107.5229357798164,2.0,New / Low Engagement
25,31,Male,USA,60556,46,32,39.24,12,0,1255.68,960.0,1.0,Champions / Top Spenders
26,20,Female,Brazil,24357,26,5,22.49,0,0,112.44999999999999,1031.6513761467888,2.0,New / Low Engagement
